amazing,average_sum,bad_sum,best_sum,brand,business_sum,chennai_sum,chola_sum,clean_sum,comfortable_sum,disappointing,excellent_sum,good_sum,grand_sum,grand chola,great_sum,hospitality_sum,hyatt_sum,itc_sum,itc grand,luxury,money_sum,nice_sum,park_sum,pathetic,place_sum,poor_sum,poorly,price_sum,property_sum,review,standards,star_sum,taj_sum,terrible,trip_sum,visit_sum,worst,worth,always,around,ask,average,bad,best,big,bite,book,buffet,business,call,care,change,charge,chennai,chola,city,clean,close,come,comfortable,courteous,days,desk,dinner,due,every,excellent,expect,facilities,family,feel,find,friendly,front,front desk,give,good,grand,great,guest,guests,help,helpful,high,hospitality,however,hyatt,india,indian,itc,keep,know,large,last,leave,like,little,lobby,locate,look,lot,make,manager,many,money,near,never,nice,nothing,offer,old,order,overall,park,pay,place,pool,poor,price,property,provide,quality,recommend,request,restaurants,say,see,seem,serve,small,spacious,spread,standard,star,start,still,taj,take,tell,thing,things,think,though,top,travel,trip,try,use,visit,wait,want,water,way,week,welcome,well
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22758770080805424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20899508439315018,0.0,0.0,0.0,0.0,0.0,0.0,0.25808591599605574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2168469168674926,0.0,0.0,0.0,0.0,0.0,0.2658917260135319,0.0,0.0,0.42523798856799827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2517656941801464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23655600450510342,0.2311790642802614,0.0,0.0,0.252439068856315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2438766506938843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26109946981095056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21547236247641244,0.0,0.0,0.0,0.0,0.0,0.0,0.3588553562450587
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762134058758815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289476290391344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2955026253587925,0.34162547583281205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35494786646739385,0.33130257034172944,0.0,0.0,0.0,0.0,0.0,0.0,0.34601498245412354,0.0,0.0,0.28764135120097417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30570134058445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3228207842137909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.7367188493925029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6761991843752747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22985600505895007,0.0,0.0,0.4179478233127752,0.0,0.23918354521855592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25326755442378257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2570375334115903,0.0,0.0,0.0,0.0,0.0,0.2147381095386602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2516213124297482,0.24307963704978328,0.0,0.0,0.0,0.3954264507311731,0.0,0.0,0.0,0.2621627852581577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577462551474992,0.259918312647189,0.0,0.0,0.23972651544534587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.6125723605718063,0.0,0.0,0.4907532664165881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196098244580489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25231182004577146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3621281828788868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20942830832934944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6172994056930298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43486377411441013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43723752125628046,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.5646221389526405,0.0,0.0,0.4523386571399971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6903561250987271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2925412385158986,0.0,0.0,0.0,0.280279027567801,0.0,0.0,0.0,0.0,0.0,0.0,0.33611401850445394,0.0,0.0,0.1887765127614917,0.6634872907536695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30756710448501023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3061507201912915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24230747623844737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497298362287284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31403995102202004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3210273940679462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39431240128353107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34297318231339846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3210273940679462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287009563096892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2635625196269539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3133784391551932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24687450047737963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26884006906349167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3183494828753644,0.0,0.0,0.0,0.0,0.3179238161634723,0.0,0.0,0.0,0.0,0.0,0.0,0.6436694143428764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.7367188493925029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6761991843752747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22985600505895007,0.0,0.0,0.4179478233127752,0.0,0.23918354521855592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25326755442378257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2570375334115903,0.0,0.0,0.0,0.0,0.0,0.2147381095386602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2516213124297482,0.24307963704978328,0.0,0.0,0.0,0.3954264507311731,0.0,0.0,0.0,0.2621627852581577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577462551474992,0.259918312647189,0.0,0.0,0.23972651544534587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.7274660427178714,0.0,0.0,0.6861436851654324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2109516048844135,0.0,0.0,0.2254279158079865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12451237710211885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20055654934044928,0.0,0.19063004796285918,0.0,0.0,0.20286375003774473,0.0,0.0,0.0,0.0,0.0,0.0,0.19855764899563003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22473014683925635,0.20651137487139024,0.0,0.0,0.0,0.0,0.0,0.4794602794816325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17343023852630066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21373633404723094,0.1517395693429525,0.20357468480268853,0.2050239582761365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2012388743510031,0.0,0.0,0.40385907510332314,0.0,0.0,0.0,0.0,0.15212209918622874
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24101096293399932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2449200240149933,0.20284728307938846,0.0,0.0,0.0,0.0,0.0,0.0,0.2130278631830559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23614387877470674,0.0,0.0,0.0,0.16825402687695332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20515458780787674,0.2466218188894297,0.0,0.0,0.0,0.22153607518709112,0.0,0.0,0.0,0.0,0.23216847147321448,0.0,0.2403819980443001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17223871980144154,0.0,0.0,0.2344098838971421,0.0,0.21681509475338248,0.0,0.0,0.0,0.0,0.0,0.0,0.4898400480299866,0.0,0.21510422256660186,0.0,0.0,0.0,0.17267292724500446
